phase	read_thru	write_thru	read_util	write_util	read_qocc	write_qocc	read_respt	write_respt	
1	0.0021947906624385726	3.976871352570948e-05	0.03278537499999999	0.000517125	0.26228299999999993	0.004137	119.50251315019919	104.02649804916452	
2	0.0021630020650137433	1.4000385040814325e-06	0.031881125	1.9875000000000002e-05	0.255049	0.00015900000000000002	117.91435806991682	113.5683051119513	
3	0.0022356265270098087	3.0000285052877308e-06	0.032841	4.3750000000000006e-05	0.262728	0.00035000000000000005	117.51873437975506	116.66555813823236	
4	0.0022760975551655957	2.4000595294532776e-06	0.033376375	3.35e-05	0.267011	0.00026800000000000006	117.31087685324358	111.66389696219294	
5	0.0023676108318335092	2.4000348051511626e-06	0.034700375000000006	3.3375000000000005e-05	0.27760300000000004	0.00026700000000000004	117.25026607730993	111.24838665961906	
6	0.002155757476682197	7.800345704832065e-06	0.031579249999999996	0.000108125	0.25263399999999997	0.000865	117.19036242834444	110.89252101533911	
7	0.0053259919666254546	0.004674793179635859	0.12238216704684211	0.106608082953158	0.981014	0.8545899999999998	184.19366873765114	182.80808736581747	
8	0.017933458052834854	0.008749611256344964	0.6605325054161154	0.3209052445838852	9.103417999999994	4.503731000000005	507.622008715768	514.734982852413	
9	0.0123026989753647	0.0064271831042764	0.4136061711289577	0.22042357887104227	3.5384799999999994	1.8915779999999995	287.6181890726222	294.3090261021841	
10	0.01592789150389949	0.0027031455235854113	0.4699640752154406	0.08032967478455927	3.921996999999999	0.6738580000000006	246.23453763731436	249.28661595185065	
11	0.017850898697753463	0.009065052584966241	0.6557845465780134	0.33078857842198744	9.247720000000001	4.7173240000000005	518.0534692723245	520.3857292370652	
12	0.011462461931548908	0.002553082839740509	0.271238932859461	0.06297506714053917	2.185613	0.5082339999999994	190.67570414209095	199.0667878413438	
13	0.019215293833637376	0.004189509600322069	0.6848955039029248	0.15256837109707544	6.558046000000001	1.4893760000000005	341.29303755531436	355.5012739165234	
14	0.012665376096394078	0.007533883946395851	0.4363590353259211	0.25796846467407886	3.8455080000000006	2.281954999999998	303.6236721856877	302.8922420674753	
15	0.016578120696638294	0.005506515727274541	0.5901894608944622	0.19532303910553797	5.534102	1.8578879999999998	333.8196229396619	337.3981101693075	
